"replicate","TEMP","RGF1","Cortex cell number","grp","val"
1,"22C",0,57,"22C_0",57
1,"22C",0,61,"22C_0",61
1,"22C",0,63,"22C_0",63
1,"22C",0,64,"22C_0",64
1,"22C",0,60,"22C_0",60
1,"22C",0,67,"22C_0",67
1,"22C",0,65,"22C_0",65
1,"22C",0,60,"22C_0",60
1,"22C",0,60,"22C_0",60
1,"22C",0,58,"22C_0",58
1,"22C",0,60,"22C_0",60
1,"22C",0,60,"22C_0",60
1,"22C",0,63,"22C_0",63
1,"22C",0,58,"22C_0",58
1,"22C",0,56,"22C_0",56
1,"22C",0,60,"22C_0",60
1,"22C",0,57,"22C_0",57
1,"22C",5,88,"22C_5",88
1,"22C",5,86,"22C_5",86
1,"22C",5,87,"22C_5",87
1,"22C",5,91,"22C_5",91
1,"22C",5,83,"22C_5",83
1,"22C",5,83,"22C_5",83
1,"22C",5,70,"22C_5",70
1,"22C",5,84,"22C_5",84
1,"22C",5,75,"22C_5",75
1,"22C",5,78,"22C_5",78
1,"22C",5,82,"22C_5",82
1,"22C",5,89,"22C_5",89
1,"22C",5,77,"22C_5",77
1,"22C",5,75,"22C_5",75
1,"31C",0,41,"31C_0",41
1,"31C",0,42,"31C_0",42
1,"31C",0,46,"31C_0",46
1,"31C",0,55,"31C_0",55
1,"31C",0,55,"31C_0",55
1,"31C",0,48,"31C_0",48
1,"31C",0,50,"31C_0",50
1,"31C",0,45,"31C_0",45
1,"31C",0,48,"31C_0",48
1,"31C",0,42,"31C_0",42
1,"31C",0,54,"31C_0",54
1,"31C",0,49,"31C_0",49
1,"31C",0,45,"31C_0",45
1,"31C",0,49,"31C_0",49
1,"31C",0,43,"31C_0",43
1,"31C",5,66,"31C_5",66
1,"31C",5,81,"31C_5",81
1,"31C",5,64,"31C_5",64
1,"31C",5,88,"31C_5",88
1,"31C",5,74,"31C_5",74
1,"31C",5,78,"31C_5",78
1,"31C",5,80,"31C_5",80
1,"31C",5,72,"31C_5",72
1,"31C",5,60,"31C_5",60
1,"31C",5,76,"31C_5",76
1,"31C",5,80,"31C_5",80
1,"31C",5,82,"31C_5",82
1,"31C",5,62,"31C_5",62
1,"31C",5,82,"31C_5",82
1,"31C",5,82,"31C_5",82
2,"22C",0,60,"22C_0",60
2,"22C",0,63,"22C_0",63
2,"22C",0,65,"22C_0",65
2,"22C",0,67,"22C_0",67
2,"22C",0,67,"22C_0",67
2,"22C",0,63,"22C_0",63
2,"22C",0,58,"22C_0",58
2,"22C",0,60,"22C_0",60
2,"22C",0,63,"22C_0",63
2,"22C",0,65,"22C_0",65
2,"22C",0,66,"22C_0",66
2,"22C",0,60,"22C_0",60
2,"22C",0,62,"22C_0",62
2,"22C",0,60,"22C_0",60
2,"22C",0,67,"22C_0",67
2,"22C",0,68,"22C_0",68
2,"22C",0,63,"22C_0",63
2,"22C",5,80,"22C_5",80
2,"22C",5,81,"22C_5",81
2,"22C",5,81,"22C_5",81
2,"22C",5,85,"22C_5",85
2,"22C",5,85,"22C_5",85
2,"22C",5,84,"22C_5",84
2,"22C",5,90,"22C_5",90
2,"22C",5,86,"22C_5",86
2,"22C",5,84,"22C_5",84
2,"22C",5,85,"22C_5",85
2,"22C",5,82,"22C_5",82
2,"22C",5,79,"22C_5",79
2,"22C",5,80,"22C_5",80
2,"22C",5,74,"22C_5",74
2,"22C",5,79,"22C_5",79
2,"31C",0,47,"31C_0",47
2,"31C",0,44,"31C_0",44
2,"31C",0,44,"31C_0",44
2,"31C",0,49,"31C_0",49
2,"31C",0,45,"31C_0",45
2,"31C",0,44,"31C_0",44
2,"31C",0,40,"31C_0",40
2,"31C",0,40,"31C_0",40
2,"31C",0,42,"31C_0",42
2,"31C",0,30,"31C_0",30
2,"31C",0,41,"31C_0",41
2,"31C",0,46,"31C_0",46
2,"31C",0,29,"31C_0",29
2,"31C",0,36,"31C_0",36
2,"31C",0,41,"31C_0",41
2,"31C",0,27,"31C_0",27
2,"31C",5,61,"31C_5",61
2,"31C",5,63,"31C_5",63
2,"31C",5,65,"31C_5",65
2,"31C",5,60,"31C_5",60
2,"31C",5,63,"31C_5",63
2,"31C",5,74,"31C_5",74
2,"31C",5,79,"31C_5",79
2,"31C",5,64,"31C_5",64
2,"31C",5,61,"31C_5",61
2,"31C",5,66,"31C_5",66
2,"31C",5,62,"31C_5",62
2,"31C",5,50,"31C_5",50
2,"31C",5,68,"31C_5",68
2,"31C",5,74,"31C_5",74
2,"31C",5,67,"31C_5",67
2,"31C",5,60,"31C_5",60
2,"31C",5,79,"31C_5",79
2,"31C",5,68,"31C_5",68
3,"22C",0,59,"22C_0",59
3,"22C",0,63,"22C_0",63
3,"22C",0,59,"22C_0",59
3,"22C",0,63,"22C_0",63
3,"22C",0,66,"22C_0",66
3,"22C",0,64,"22C_0",64
3,"22C",0,63,"22C_0",63
3,"22C",0,62,"22C_0",62
3,"22C",0,62,"22C_0",62
3,"22C",0,54,"22C_0",54
3,"22C",0,72,"22C_0",72
3,"22C",0,63,"22C_0",63
3,"22C",0,63,"22C_0",63
3,"22C",0,69,"22C_0",69
3,"22C",0,65,"22C_0",65
3,"22C",0,67,"22C_0",67
3,"22C",0,67,"22C_0",67
3,"22C",5,92,"22C_5",92
3,"22C",5,67,"22C_5",67
3,"22C",5,88,"22C_5",88
3,"22C",5,85,"22C_5",85
3,"22C",5,78,"22C_5",78
3,"22C",5,86,"22C_5",86
3,"22C",5,80,"22C_5",80
3,"22C",5,70,"22C_5",70
3,"22C",5,82,"22C_5",82
3,"22C",5,88,"22C_5",88
3,"22C",5,92,"22C_5",92
3,"22C",5,88,"22C_5",88
3,"22C",5,78,"22C_5",78
3,"22C",5,81,"22C_5",81
3,"22C",5,95,"22C_5",95
3,"31C",0,39,"31C_0",39
3,"31C",0,50,"31C_0",50
3,"31C",0,42,"31C_0",42
3,"31C",0,55,"31C_0",55
3,"31C",0,46,"31C_0",46
3,"31C",0,45,"31C_0",45
3,"31C",0,32,"31C_0",32
3,"31C",0,53,"31C_0",53
3,"31C",0,48,"31C_0",48
