"replicate","TEMP","DAT","RGF1","RO index","grp","val"
1,"22C","DAT2","0nM",-0.0876779388083736,"0nM_22C",-0.0876779388083736
1,"22C","DAT2","0nM",-0.0794839018181818,"0nM_22C",-0.0794839018181818
1,"22C","DAT2","0nM",-0.061980701754386,"0nM_22C",-0.061980701754386
1,"22C","DAT2","0nM",-0.131631832797428,"0nM_22C",-0.131631832797428
1,"22C","DAT2","0nM",-0.0455099337748344,"0nM_22C",-0.0455099337748344
1,"22C","DAT2","0nM",0.00755555555555556,"0nM_22C",0.00755555555555556
1,"22C","DAT2","0nM",-0.0331893687707641,"0nM_22C",-0.0331893687707641
1,"22C","DAT2","0nM",-0.132726003490401,"0nM_22C",-0.132726003490401
1,"22C","DAT2","0nM",-0.0402713643178411,"0nM_22C",-0.0402713643178411
1,"22C","DAT2","0nM",-0.0300888888888889,"0nM_22C",-0.0300888888888889
1,"22C","DAT2","0nM",-0.0395429497568882,"0nM_22C",-0.0395429497568882
1,"22C","DAT2","0nM",-0.0470063191153239,"0nM_22C",-0.0470063191153239
1,"22C","DAT2","0nM",-0.127110320284698,"0nM_22C",-0.127110320284698
1,"22C","DAT2","0nM",-0.0512320534223706,"0nM_22C",-0.0512320534223706
1,"22C","DAT2","0nM",-0.0246827067669173,"0nM_22C",-0.0246827067669173
1,"22C","DAT2","0nM",-0.00226771653543307,"0nM_22C",-0.00226771653543307
1,"22C","DAT2","5nM",-0.0661419913419913,"5nM_22C",-0.0661419913419913
1,"22C","DAT2","5nM",-0.034338249754179,"5nM_22C",-0.034338249754179
1,"22C","DAT2","5nM",-0.0487748091603053,"5nM_22C",-0.0487748091603053
1,"22C","DAT2","5nM",-0.0221940700808625,"5nM_22C",-0.0221940700808625
1,"22C","DAT2","5nM",-6.0975609756099e-05,"5nM_22C",-6.0975609756099e-05
1,"22C","DAT2","5nM",-0.00203216911764706,"5nM_22C",-0.00203216911764706
1,"22C","DAT2","5nM",0.0128754940711462,"5nM_22C",0.0128754940711462
1,"22C","DAT2","5nM",-0.0245547098001903,"5nM_22C",-0.0245547098001903
1,"22C","DAT2","5nM",-0.0232753246753247,"5nM_22C",-0.0232753246753247
1,"22C","DAT2","5nM",-0.0997203471552556,"5nM_22C",-0.0997203471552556
1,"22C","DAT2","5nM",-0.130790180924287,"5nM_22C",-0.130790180924287
1,"22C","DAT2","5nM",0.0306889332003988,"5nM_22C",0.0306889332003988
1,"22C","DAT2","5nM",0.0323354430379747,"5nM_22C",0.0323354430379747
1,"22C","DAT2","5nM",0.0442926829268293,"5nM_22C",0.0442926829268293
1,"31C","DAT2","0nM",0.029294921875,"0nM_31C",0.029294921875
1,"31C","DAT2","0nM",0.0222958801498127,"0nM_31C",0.0222958801498127
1,"31C","DAT2","0nM",0.053,"0nM_31C",0.053
1,"31C","DAT2","0nM",0.052,"0nM_31C",0.052
1,"31C","DAT2","0nM",0.058,"0nM_31C",0.058
1,"31C","DAT2","0nM",0.0453308687615527,"0nM_31C",0.0453308687615527
1,"31C","DAT2","0nM",0.062,"0nM_31C",0.062
1,"31C","DAT2","0nM",0.038,"0nM_31C",0.038
1,"31C","DAT2","5nM",-0.0120010460251046,"5nM_31C",-0.0120010460251046
1,"31C","DAT2","5nM",0.000438818565400844,"5nM_31C",0.000438818565400844
1,"31C","DAT2","5nM",-0.00449190938511327,"5nM_31C",-0.00449190938511327
1,"31C","DAT2","5nM",0.0259124877089479,"5nM_31C",0.0259124877089479
1,"31C","DAT2","5nM",0.00410515873015873,"5nM_31C",0.00410515873015873
1,"31C","DAT2","5nM",0.0223150183150183,"5nM_31C",0.0223150183150183
1,"31C","DAT2","5nM",0.00806678230702515,"5nM_31C",0.00806678230702515
1,"31C","DAT2","5nM",0.0149857890800299,"5nM_31C",0.0149857890800299
1,"31C","DAT2","5nM",0.0296881937436932,"5nM_31C",0.0296881937436932
1,"31C","DAT2","5nM",0.00530648330058939,"5nM_31C",0.00530648330058939
